Rk,Name,Pos,Age,Team,Game,GS,3P%,FT%,STL,PER,TS%,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,VORP,EFF,GmSc,FG,3P,3PA,ORB,DRB,AST,BLK,PTS,last_year_salary
67,Bruce Brown,G,22,DET,33,16,0.229,0.758,17,7.8,0.476,4.1,7.2,10,1.3,2,12.2,13.3,0,6.696969697,117.2,68,11,48,26,62,46,16,172,
68,Jaylen Brown,G,22,BOS,36,21,0.295,0.66,29,11.8,0.52,3.9,8.3,8.7,1.5,2,11.3,21.5,-0.1,11.19444444,272.9,165,38,129,35,112,56,21,432,5169960
69,Lorenzo Brown,G,28,TOR,26,0,0.214,1,12,6.6,0.38,2.6,7.9,17.2,2.7,1.9,18.1,18,-0.1,3.423076923,36.1,23,6,28,5,26,28,5,55,1512601
70,Sterling Brown,G,23,MIL,31,0,0.347,0.75,10,11.4,0.557,4,10.4,9.7,1,0.6,9.2,14.8,0.1,6.935483871,127.4,65,25,72,17,76,34,3,164,0
71,Troy Brown,F,19,WAS,21,0,0.3,0.786,7,10.8,0.435,2.9,10,18.2,2.2,0.6,9.8,17.7,-0.1,3.285714286,40.7,17,3,10,4,23,20,1,48,
72,Jalen Brunson,G,22,DAL,35,9,0.311,0.65,20,11,0.506,1.9,5.3,19.2,1.7,0,10.8,17.9,-0.2,6.485714286,154.7,86,19,61,10,46,72,0,217,
73,Thomas Bryant,C,21,WAS,33,27,0.321,0.857,14,21.6,0.722,6.9,15.7,7.6,1.1,3.6,8.7,15.7,0.5,10.39393939,289.8,115,9,28,38,131,30,25,287,1378242
74,Reggie Bullock,G,27,DET,32,32,0.391,0.88,17,11,0.568,1.6,4.3,11.4,0.9,0.3,9.6,16.4,0.3,10.8125,255.8,131,79,202,15,63,74,3,385,2500000
75,Trey Burke,G,26,NYK,29,5,0.342,0.838,17,15.9,0.491,2.6,5.3,23.4,1.4,0.3,6.8,25.8,-0.2,9.620689655,221.5,120,25,73,15,43,81,2,322,1795015
76,Alec Burks,G,27,TOT,40,14,0.384,0.825,24,13.3,0.526,2,8.4,13.5,1.3,1.4,9.8,20.6,-0.1,10.275,294.7,142,48,125,17,124,83,16,417,11536515
77,Deonte Burton,G,25,OKC,15,0,0.308,0.833,3,8,0.504,0.8,6.3,5.2,1.1,3.2,12.6,17.3,-0.1,3.066666667,25.8,20,4,13,1,15,5,5,49,
78,Jimmy Butler,G,29,TOT,34,34,0.379,0.837,70,20.9,0.576,5.8,7.9,16.7,2.9,1.5,8.4,23.5,1.4,17.76470588,565.1,233,44,116,60,108,121,21,664,20445779
79,Jose Calderon,G,37,DET,34,0,0.191,0.714,14,6.2,0.4,1.8,5.4,24.2,1.4,0.5,20.4,11.1,-0.4,5.088235294,75.8,35,9,47,9,41,89,3,84,0
80,Kentavious Caldwell-Pope,G,25,LAL,43,4,0.363,0.885,34,12.6,0.578,2.2,5.8,6.2,1.6,0.4,6.7,16.7,0.4,8.953488372,308.3,143,70,193,21,93,46,5,433,12000000
