Rk,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,EFF,GmSc,last_year_salary,PID,Jersey
40,Marco Belinelli,G,32,SAS,42,0,922,145,359,0.404,76,201,0.378,69,158,0.437,0.51,60,68,0.882,9,87,96,77,21,6,33,65,426,12.6,0.548,0.56,0.189,1.1,10.2,5.7,11.7,1.1,0.5,7.8,20.2,0.9,0.6,1.5,0.076,1,-2.3,-1.3,0.2,9.238095238,282,6153846,201158,18
41,Jordan Bell,C,24,GSW,40,1,454,48,90,0.533,0,1,0,48,89,0.539,0.533,14,21,0.667,29,76,105,48,14,32,21,52,110,13.5,0.554,0.011,0.233,7.2,17.6,12.6,13.4,1.5,6,17.5,11.3,0.5,0.6,1.1,0.117,-2.2,3.4,1.2,0.4,5.65,134.7,1378252,1628395,2
42,DeAndre' Bembry,G,24,ATL,42,6,1025,140,332,0.422,31,101,0.307,109,231,0.472,0.468,46,78,0.59,25,154,179,110,55,25,70,102,357,10.3,0.487,0.304,0.235,2.5,16.3,9.2,15.4,2.5,2.1,16,17.3,-0.6,1,0.4,0.018,-3.6,1.3,-2.2,-0.1,11.19047619,270.2,1634640,1627761,95
43,Dragan Bender,F,21,PHX,12,0,100,9,25,0.36,2,14,0.143,7,11,0.636,0.4,6,7,0.857,5,13,18,7,1,1,6,8,26,6.4,0.463,0.56,0.28,5.6,15,10.2,9.5,0.5,0.8,17.6,14.8,-0.1,0,-0.1,-0.029,-4.4,-2.4,-6.8,-0.1,2.666666667,16.5,4661280,1627733,35
44,Davis Bertans,F,26,SAS,39,4,748,99,201,0.493,73,152,0.48,26,49,0.531,0.674,23,26,0.885,17,112,129,44,18,14,20,64,294,15,0.692,0.756,0.129,2.5,16.2,9.5,8,1.2,1.6,8.6,13.7,1.7,0.7,2.4,0.153,3.3,-0.3,3,0.9,9.153846154,250.2,7000000,202722,42
45,Patrick Beverley,G,30,LAC,41,16,1013,90,236,0.381,51,142,0.359,39,94,0.415,0.489,49,65,0.754,30,124,154,137,24,16,44,142,280,9.8,0.529,0.602,0.275,3.3,12.5,8.1,17.6,1.1,1.2,14.3,12.9,0.9,0.6,1.5,0.073,0.7,0.1,0.8,0.7,10.43902439,232.9,5027028,201976,21
46,Khem Birch,C,26,ORL,17,0,133,13,29,0.448,0,1,0,13,28,0.464,0.448,13,16,0.813,10,24,34,5,6,5,3,12,39,14.5,0.541,0.034,0.552,8,19.9,13.8,5.3,2.2,3.1,7.7,13,0.2,0.2,0.4,0.135,-3.6,1.8,-1.8,0,3.529411765,42.1,1378242,203920,24
47,Bismack Biyombo,C,26,CHA,16,4,188,26,46,0.565,0,0,,26,46,0.565,0.565,10,19,0.526,21,40,61,6,4,14,8,28,62,15.6,0.57,0,0.413,11.8,23.1,17.4,4.5,1,6.5,12.8,14.2,0.2,0.3,0.5,0.125,-2.9,2,-0.9,0.1,6.4375,62.1,17000000,202687,8
48,Nemanja Bjelica,F,30,SAC,42,41,1046,171,345,0.496,64,147,0.435,107,198,0.54,0.588,47,60,0.783,70,188,258,87,33,35,56,111,453,16.2,0.61,0.426,0.174,6.8,19.1,12.8,11.2,1.5,2.8,13.1,16.9,1.7,1,2.8,0.126,1.6,1.1,2.7,1.3,14.0952381,398.1,6500000,202357,88
49,Antonio Blakeney,G,22,CHI,34,0,540,114,268,0.425,30,67,0.448,84,201,0.418,0.481,37,54,0.685,5,57,62,19,10,6,23,25,295,11.9,0.506,0.25,0.201,1,11.6,6.3,6.1,0.9,1,7.3,25.9,-0.5,0.2,-0.2,-0.022,-4.3,-3.9,-8.1,-0.8,6.411764706,161.3,1349383,1628469,9
